seed,config,episode_id,risk_level,categoria,recipe,t,time_s,p_t,y_frame_clean,p_max_episode
42,baseline_fixed,0,Crítico,Critico,C03,34,3.5417,0.921002,0.950632,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,35,3.6458,0.924119,0.909085,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,36,3.75,0.925676,0.827807,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,37,3.8542,0.92665,0.710349,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,38,3.9583,0.927183,0.763667,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,39,4.0625,0.927198,0.856717,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,40,4.1667,0.926452,1.0,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,41,4.2708,0.925113,0.683333,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,42,4.375,0.91604,0.366667,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,43,4.4792,0.903678,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,44,4.5833,0.887175,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,45,4.6875,0.86593,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,46,4.7917,0.836473,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,47,4.8958,0.794836,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,48,5.0,0.738548,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,49,5.1042,0.666495,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,50,5.2083,0.581684,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,51,5.3125,0.492629,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,52,5.4167,0.417553,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,53,5.5208,0.364672,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,54,5.625,0.328544,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,55,5.7292,0.295691,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,56,5.8333,0.263198,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,57,5.9375,0.22831,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,58,6.0417,0.196787,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,59,6.1458,0.173346,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,60,6.25,0.156196,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,61,6.3542,0.14302,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,62,6.4583,0.133078,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,63,6.5625,0.12551,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,64,6.6667,0.120794,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,65,6.7708,0.116546,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,66,6.875,0.112775,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,67,6.9792,0.109141,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,68,7.0833,0.106232,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,69,7.1875,0.102636,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,70,7.2917,0.097568,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,71,7.3958,0.091212,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,72,7.5,0.083856,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,73,7.6042,0.075611,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,74,7.7083,0.067429,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,75,7.8125,0.060108,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,76,7.9167,0.053842,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,77,8.0208,0.048911,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,78,8.125,0.044858,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,79,8.2292,0.041901,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,80,8.3333,0.039209,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,81,8.4375,0.036229,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,82,8.5417,0.033273,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,83,8.6458,0.030114,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,84,8.75,0.027168,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,85,8.8542,0.024889,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,86,8.9583,0.023601,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,87,9.0625,0.023501,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,88,9.1667,0.02478,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,89,9.2708,0.027147,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,90,9.375,0.030262,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,91,9.4792,0.033731,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,92,9.5833,0.037542,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,93,9.6875,0.041198,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,94,9.7917,0.044471,0.05,0.927198
42,baseline_fixed,0,Crítico,Critico,C03,95,9.8958,0.04737,0.05,0.927198
42,baseline_fixed,1,Crítico,Critico,C10,0,0.0,0.035214,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,1,0.1042,0.035099,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,2,0.2083,0.034864,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,3,0.3125,0.034725,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,4,0.4167,0.034945,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,5,0.5208,0.035143,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,6,0.625,0.035592,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,7,0.7292,0.035928,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,8,0.8333,0.036027,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,9,0.9375,0.035933,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,10,1.0417,0.036005,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,11,1.1458,0.036015,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,12,1.25,0.03646,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,13,1.3542,0.036816,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,14,1.4583,0.037006,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,15,1.5625,0.036855,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,16,1.6667,0.036413,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,17,1.7708,0.035976,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,18,1.875,0.03561,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,19,1.9792,0.035318,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,20,2.0833,0.034982,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,21,2.1875,0.035041,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,22,2.2917,0.035121,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,23,2.3958,0.035022,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,24,2.5,0.034744,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,25,2.6042,0.034653,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,26,2.7083,0.035016,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,27,2.8125,0.035685,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,28,2.9167,0.036361,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,29,3.0208,0.036951,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,30,3.125,0.037195,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,31,3.2292,0.0375,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,32,3.3333,0.037884,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,33,3.4375,0.03851,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,34,3.5417,0.038735,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,35,3.6458,0.038765,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,36,3.75,0.038906,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,37,3.8542,0.038923,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,38,3.9583,0.039228,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,39,4.0625,0.040064,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,40,4.1667,0.043734,0.063132,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,41,4.2708,0.051611,0.079626,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,42,4.375,0.064605,0.111174,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,43,4.4792,0.083712,0.162606,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,44,4.5833,0.111033,0.196576,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,45,4.6875,0.141912,0.243616,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,46,4.7917,0.169762,0.235746,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,47,4.8958,0.186498,0.21323,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,48,5.0,0.19325,0.17347,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,49,5.1042,0.197898,0.174635,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,50,5.2083,0.204192,0.202413,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,51,5.3125,0.213413,0.218678,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,52,5.4167,0.22766,0.231197,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,53,5.5208,0.247776,0.264874,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,54,5.625,0.273419,0.267396,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,55,5.7292,0.300283,0.291099,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,56,5.8333,0.331441,0.304183,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,57,5.9375,0.361139,0.3584,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,58,6.0417,0.417424,0.382661,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,59,6.1458,0.491991,0.394459,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,60,6.25,0.574921,0.41249,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,61,6.3542,0.661898,0.442495,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,62,6.4583,0.741327,0.458765,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,63,6.5625,0.798022,0.467492,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,64,6.6667,0.836586,0.48365,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,65,6.7708,0.863901,0.530386,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,66,6.875,0.885409,0.57391,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,67,6.9792,0.900293,0.600684,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,68,7.0833,0.909829,0.636667,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,69,7.1875,0.914167,0.702113,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,70,7.2917,0.916515,0.754363,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,71,7.3958,0.917457,0.792023,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,72,7.5,0.917842,0.822724,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,73,7.6042,0.917901,0.85668,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,74,7.7083,0.914561,0.885261,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,75,7.8125,0.909706,0.900673,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,76,7.9167,0.904296,0.898729,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,77,8.0208,0.897914,0.902799,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,78,8.125,0.892012,0.906428,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,79,8.2292,0.886701,0.905886,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,80,8.3333,0.882769,0.904122,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,81,8.4375,0.87941,0.606823,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,82,8.5417,0.869649,0.331822,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,83,8.6458,0.856566,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,84,8.75,0.839604,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,85,8.8542,0.818205,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,86,8.9583,0.789943,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,87,9.0625,0.753745,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,88,9.1667,0.711603,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,89,9.2708,0.662615,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,90,9.375,0.611513,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,91,9.4792,0.564555,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,92,9.5833,0.526092,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,93,9.6875,0.494812,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,94,9.7917,0.465373,0.05,0.917901
42,baseline_fixed,1,Crítico,Critico,C10,95,9.8958,0.437881,0.05,0.917901
42,baseline_fixed,2,Crítico,Critico,C03,0,0.0,0.039233,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,1,0.1042,0.038971,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,2,0.2083,0.03888,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,3,0.3125,0.038769,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,4,0.4167,0.038889,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,5,0.5208,0.039042,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,6,0.625,0.039321,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,7,0.7292,0.039361,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,8,0.8333,0.039593,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,9,0.9375,0.039981,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,10,1.0417,0.040134,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,11,1.1458,0.040077,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,12,1.25,0.040067,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,13,1.3542,0.039897,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,14,1.4583,0.039691,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,15,1.5625,0.039492,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,16,1.6667,0.039258,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,17,1.7708,0.039334,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,18,1.875,0.039357,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,19,1.9792,0.039036,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,20,2.0833,0.038707,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,21,2.1875,0.038723,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,22,2.2917,0.038976,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,23,2.3958,0.039161,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,24,2.5,0.039841,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,25,2.6042,0.04166,0.05,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,26,2.7083,0.065665,0.100558,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,27,2.8125,0.147759,0.215403,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,28,2.9167,0.353697,0.388787,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,29,3.0208,0.604894,0.561846,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,30,3.125,0.764497,0.710349,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,31,3.2292,0.84704,0.827807,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,32,3.3333,0.891248,0.909085,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,33,3.4375,0.910777,0.950632,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,34,3.5417,0.918429,0.950632,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,35,3.6458,0.921599,0.909085,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,36,3.75,0.923158,0.827807,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,37,3.8542,0.923768,0.710349,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,38,3.9583,0.924064,0.763667,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,39,4.0625,0.923899,0.856717,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,40,4.1667,0.923638,1.0,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,41,4.2708,0.922904,1.0,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,42,4.375,0.916034,0.995153,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,43,4.4792,0.90724,0.985459,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,44,4.5833,0.896373,0.970919,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,45,4.6875,0.883594,0.956378,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,46,4.7917,0.869367,0.941838,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,47,4.8958,0.853634,0.927297,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,48,5.0,0.836919,0.912757,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,49,5.1042,0.819279,0.898216,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,50,5.2083,0.800951,0.883675,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,51,5.3125,0.784688,0.869135,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,52,5.4167,0.769739,0.854594,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,53,5.5208,0.754955,0.840054,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,54,5.625,0.743268,0.825513,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,55,5.7292,0.735942,0.810972,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,56,5.8333,0.735046,0.796432,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,57,5.9375,0.742951,0.781891,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,58,6.0417,0.757188,0.767351,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,59,6.1458,0.772625,0.75281,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,60,6.25,0.785322,0.73827,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,61,6.3542,0.794148,0.723729,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,62,6.4583,0.797855,0.709188,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,63,6.5625,0.796823,0.694648,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,64,6.6667,0.793856,0.680107,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,65,6.7708,0.791442,0.665567,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,66,6.875,0.786968,0.651026,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,67,6.9792,0.781808,0.636485,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,68,7.0833,0.776191,0.621945,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,69,7.1875,0.772167,0.607404,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,70,7.2917,0.771885,0.592864,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,71,7.3958,0.773151,0.578323,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,72,7.5,0.775196,0.563783,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,73,7.6042,0.77574,0.549242,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,74,7.7083,0.774974,0.534701,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,75,7.8125,0.770437,0.520161,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,76,7.9167,0.763681,0.50562,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,77,8.0208,0.753155,0.49108,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,78,8.125,0.738724,0.476539,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,79,8.2292,0.721865,0.461998,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,80,8.3333,0.706703,0.447458,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,81,8.4375,0.69045,0.432917,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,82,8.5417,0.674193,0.418377,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,83,8.6458,0.657324,0.403836,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,84,8.75,0.638977,0.389296,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,85,8.8542,0.615384,0.374755,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,86,8.9583,0.592711,0.360214,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,87,9.0625,0.566289,0.345674,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,88,9.1667,0.534384,0.331133,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,89,9.2708,0.500947,0.316593,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,90,9.375,0.46661,0.302052,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,91,9.4792,0.43264,0.287511,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,92,9.5833,0.403099,0.272971,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,93,9.6875,0.371072,0.25843,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,94,9.7917,0.337931,0.24389,0.924064
42,baseline_fixed,2,Crítico,Critico,C03,95,9.8958,0.304052,0.229349,0.924064
42,baseline_fixed,3,Crítico,Critico,C02,0,0.0,0.034014,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,1,0.1042,0.034163,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,2,0.2083,0.03456,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,3,0.3125,0.03498,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,4,0.4167,0.035404,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,5,0.5208,0.035877,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,6,0.625,0.036599,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,7,0.7292,0.037285,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,8,0.8333,0.03777,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,9,0.9375,0.037942,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,10,1.0417,0.03805,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,11,1.1458,0.037994,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,12,1.25,0.037704,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,13,1.3542,0.037537,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,14,1.4583,0.037068,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,15,1.5625,0.036553,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,16,1.6667,0.036033,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,17,1.7708,0.035661,0.05,0.917249
42,baseline_fixed,3,Crítico,Critico,C02,18,1.875,0.035379,0.05,0.917249
