seed,config,episode_id,risk_level,t,time_s,p_t,y_frame_clean,p_max_episode
42,baseline_fixed,0,Crítico,32,3.3333,0.59667,1.0,0.621
42,baseline_fixed,0,Crítico,33,3.4375,0.58816,1.0,0.621
42,baseline_fixed,0,Crítico,34,3.5417,0.60164,1.0,0.621
42,baseline_fixed,0,Crítico,35,3.6458,0.59449,1.0,0.621
42,baseline_fixed,0,Crítico,36,3.75,0.59703,1.0,0.621
42,baseline_fixed,0,Crítico,37,3.8542,0.56932,1.0,0.621
42,baseline_fixed,0,Crítico,38,3.9583,0.5505,1.0,0.621
42,baseline_fixed,0,Crítico,39,4.0625,0.621,1.0,0.621
42,baseline_fixed,0,Crítico,40,4.1667,0.56073,1.0,0.621
42,baseline_fixed,0,Crítico,41,4.2708,0.56507,1.0,0.621
42,baseline_fixed,0,Crítico,42,4.375,0.0901,1.0,0.621
42,baseline_fixed,0,Crítico,43,4.4792,0.07371,0.0,0.621
42,baseline_fixed,0,Crítico,44,4.5833,0.06383,0.0,0.621
42,baseline_fixed,0,Crítico,45,4.6875,0.06517,0.0,0.621
42,baseline_fixed,0,Crítico,46,4.7917,0.06395,0.0,0.621
42,baseline_fixed,0,Crítico,47,4.8958,0.06117,0.0,0.621
42,baseline_fixed,0,Crítico,48,5.0,0.06167,0.0,0.621
42,baseline_fixed,0,Crítico,49,5.1042,0.06483,0.0,0.621
42,baseline_fixed,0,Crítico,50,5.2083,0.06144,0.0,0.621
42,baseline_fixed,0,Crítico,51,5.3125,0.06702,0.0,0.621
42,baseline_fixed,0,Crítico,52,5.4167,0.06302,0.0,0.621
42,baseline_fixed,0,Crítico,53,5.5208,0.06293,0.0,0.621
42,baseline_fixed,0,Crítico,54,5.625,0.06073,0.0,0.621
42,baseline_fixed,0,Crítico,55,5.7292,0.06475,0.0,0.621
42,baseline_fixed,0,Crítico,56,5.8333,0.05999,0.0,0.621
42,baseline_fixed,0,Crítico,57,5.9375,0.06181,0.0,0.621
42,baseline_fixed,0,Crítico,58,6.0417,0.06204,0.0,0.621
42,baseline_fixed,0,Crítico,59,6.1458,0.05983,0.0,0.621
42,baseline_fixed,0,Crítico,60,6.25,0.0621,0.0,0.621
42,baseline_fixed,0,Crítico,61,6.3542,0.06434,0.0,0.621
42,baseline_fixed,0,Crítico,62,6.4583,0.06436,0.0,0.621
42,baseline_fixed,0,Crítico,63,6.5625,0.06198,0.0,0.621
42,baseline_fixed,0,Crítico,64,6.6667,0.06609,0.0,0.621
42,baseline_fixed,0,Crítico,65,6.7708,0.06074,0.0,0.621
42,baseline_fixed,0,Crítico,66,6.875,0.06074,0.0,0.621
42,baseline_fixed,0,Crítico,67,6.9792,0.06132,0.0,0.621
42,baseline_fixed,0,Crítico,68,7.0833,0.06043,0.0,0.621
42,baseline_fixed,0,Crítico,69,7.1875,0.06466,0.0,0.621
42,baseline_fixed,0,Crítico,70,7.2917,0.06027,0.0,0.621
42,baseline_fixed,0,Crítico,71,7.3958,0.05904,0.0,0.621
42,baseline_fixed,0,Crítico,72,7.5,0.06452,0.0,0.621
42,baseline_fixed,0,Crítico,73,7.6042,0.06329,0.0,0.621
42,baseline_fixed,0,Crítico,74,7.7083,0.0635,0.0,0.621
42,baseline_fixed,0,Crítico,75,7.8125,0.06357,0.0,0.621
42,baseline_fixed,0,Crítico,76,7.9167,0.0602,0.0,0.621
42,baseline_fixed,0,Crítico,77,8.0208,0.05929,0.0,0.621
42,baseline_fixed,0,Crítico,78,8.125,0.06444,0.0,0.621
42,baseline_fixed,0,Crítico,79,8.2292,0.06609,0.0,0.621
42,baseline_fixed,0,Crítico,80,8.3333,0.06055,0.0,0.621
42,baseline_fixed,0,Crítico,81,8.4375,0.06294,0.0,0.621
42,baseline_fixed,0,Crítico,82,8.5417,0.06435,0.0,0.621
42,baseline_fixed,0,Crítico,83,8.6458,0.06206,0.0,0.621
42,baseline_fixed,0,Crítico,84,8.75,0.06347,0.0,0.621
42,baseline_fixed,0,Crítico,85,8.8542,0.06066,0.0,0.621
42,baseline_fixed,0,Crítico,86,8.9583,0.06261,0.0,0.621
42,baseline_fixed,0,Crítico,87,9.0625,0.05967,0.0,0.621
42,baseline_fixed,0,Crítico,88,9.1667,0.06066,0.0,0.621
42,baseline_fixed,0,Crítico,89,9.2708,0.06302,0.0,0.621
42,baseline_fixed,0,Crítico,90,9.375,0.06893,0.0,0.621
42,baseline_fixed,0,Crítico,91,9.4792,0.0676,0.0,0.621
42,baseline_fixed,0,Crítico,92,9.5833,0.06424,0.0,0.621
42,baseline_fixed,0,Crítico,93,9.6875,0.06359,0.0,0.621
42,baseline_fixed,0,Crítico,94,9.7917,0.0662,0.0,0.621
42,baseline_fixed,0,Crítico,95,9.8958,0.0625,0.0,0.621
42,aftkd_fixed,0,Crítico,0,0.0,0.00513,0.0,0.19608
42,aftkd_fixed,0,Crítico,1,0.1042,0.005,0.0,0.19608
42,aftkd_fixed,0,Crítico,2,0.2083,0.00511,0.0,0.19608
42,aftkd_fixed,0,Crítico,3,0.3125,0.00523,0.0,0.19608
42,aftkd_fixed,0,Crítico,4,0.4167,0.00509,0.0,0.19608
42,aftkd_fixed,0,Crítico,5,0.5208,0.00514,0.0,0.19608
42,aftkd_fixed,0,Crítico,6,0.625,0.00505,0.0,0.19608
42,aftkd_fixed,0,Crítico,7,0.7292,0.00492,0.0,0.19608
42,aftkd_fixed,0,Crítico,8,0.8333,0.00494,0.0,0.19608
42,aftkd_fixed,0,Crítico,9,0.9375,0.0056,0.0,0.19608
42,aftkd_fixed,0,Crítico,10,1.0417,0.00566,0.0,0.19608
42,aftkd_fixed,0,Crítico,11,1.1458,0.00545,0.0,0.19608
42,aftkd_fixed,0,Crítico,12,1.25,0.00541,0.0,0.19608
42,aftkd_fixed,0,Crítico,13,1.3542,0.00575,0.0,0.19608
42,aftkd_fixed,0,Crítico,14,1.4583,0.00565,0.0,0.19608
42,aftkd_fixed,0,Crítico,15,1.5625,0.00543,0.0,0.19608
42,aftkd_fixed,0,Crítico,16,1.6667,0.00543,0.0,0.19608
42,aftkd_fixed,0,Crítico,17,1.7708,0.00405,0.0,0.19608
42,aftkd_fixed,0,Crítico,18,1.875,0.00414,0.0,0.19608
42,aftkd_fixed,0,Crítico,19,1.9792,0.00419,0.0,0.19608
42,aftkd_fixed,0,Crítico,20,2.0833,0.004,0.0,0.19608
42,aftkd_fixed,0,Crítico,21,2.1875,0.00418,0.0,0.19608
42,aftkd_fixed,0,Crítico,22,2.2917,0.004,0.0,0.19608
42,aftkd_fixed,0,Crítico,23,2.3958,0.00412,0.0,0.19608
42,aftkd_fixed,0,Crítico,24,2.5,0.00431,0.0,0.19608
42,aftkd_fixed,0,Crítico,25,2.6042,0.0043,0.0,0.19608
42,aftkd_fixed,0,Crítico,26,2.7083,0.0537,0.0,0.19608
42,aftkd_fixed,0,Crítico,27,2.8125,0.08153,0.0,0.19608
42,aftkd_fixed,0,Crítico,28,2.9167,0.10247,1.0,0.19608
42,aftkd_fixed,0,Crítico,29,3.0208,0.13085,1.0,0.19608
42,aftkd_fixed,0,Crítico,30,3.125,0.13543,1.0,0.19608
42,aftkd_fixed,0,Crítico,31,3.2292,0.18152,1.0,0.19608
42,aftkd_fixed,0,Crítico,32,3.3333,0.18251,1.0,0.19608
42,aftkd_fixed,0,Crítico,33,3.4375,0.18378,1.0,0.19608
42,aftkd_fixed,0,Crítico,34,3.5417,0.18983,1.0,0.19608
42,aftkd_fixed,0,Crítico,35,3.6458,0.17388,1.0,0.19608
42,aftkd_fixed,0,Crítico,36,3.75,0.17484,1.0,0.19608
42,aftkd_fixed,0,Crítico,37,3.8542,0.15845,1.0,0.19608
42,aftkd_fixed,0,Crítico,38,3.9583,0.14623,1.0,0.19608
42,aftkd_fixed,0,Crítico,39,4.0625,0.19608,1.0,0.19608
42,aftkd_fixed,0,Crítico,40,4.1667,0.13333,1.0,0.19608
42,aftkd_fixed,0,Crítico,41,4.2708,0.13009,1.0,0.19608
42,aftkd_fixed,0,Crítico,42,4.375,0.00432,1.0,0.19608
42,aftkd_fixed,0,Crítico,43,4.4792,0.00417,0.0,0.19608
42,aftkd_fixed,0,Crítico,44,4.5833,0.00399,0.0,0.19608
42,aftkd_fixed,0,Crítico,45,4.6875,0.0041,0.0,0.19608
42,aftkd_fixed,0,Crítico,46,4.7917,0.00402,0.0,0.19608
42,aftkd_fixed,0,Crítico,47,4.8958,0.00407,0.0,0.19608
42,aftkd_fixed,0,Crítico,48,5.0,0.00407,0.0,0.19608
42,aftkd_fixed,0,Crítico,49,5.1042,0.00413,0.0,0.19608
42,aftkd_fixed,0,Crítico,50,5.2083,0.00404,0.0,0.19608
42,aftkd_fixed,0,Crítico,51,5.3125,0.00414,0.0,0.19608
42,aftkd_fixed,0,Crítico,52,5.4167,0.00404,0.0,0.19608
42,aftkd_fixed,0,Crítico,53,5.5208,0.00409,0.0,0.19608
42,aftkd_fixed,0,Crítico,54,5.625,0.00407,0.0,0.19608
42,aftkd_fixed,0,Crítico,55,5.7292,0.00415,0.0,0.19608
42,aftkd_fixed,0,Crítico,56,5.8333,0.00408,0.0,0.19608
42,aftkd_fixed,0,Crítico,57,5.9375,0.00424,0.0,0.19608
42,aftkd_fixed,0,Crítico,58,6.0417,0.00411,0.0,0.19608
42,aftkd_fixed,0,Crítico,59,6.1458,0.00405,0.0,0.19608
42,aftkd_fixed,0,Crítico,60,6.25,0.00407,0.0,0.19608
42,aftkd_fixed,0,Crítico,61,6.3542,0.00414,0.0,0.19608
42,aftkd_fixed,0,Crítico,62,6.4583,0.00421,0.0,0.19608
42,aftkd_fixed,0,Crítico,63,6.5625,0.0042,0.0,0.19608
42,aftkd_fixed,0,Crítico,64,6.6667,0.00412,0.0,0.19608
42,aftkd_fixed,0,Crítico,65,6.7708,0.00413,0.0,0.19608
42,aftkd_fixed,0,Crítico,66,6.875,0.00413,0.0,0.19608
42,aftkd_fixed,0,Crítico,67,6.9792,0.00414,0.0,0.19608
42,aftkd_fixed,0,Crítico,68,7.0833,0.0041,0.0,0.19608
42,aftkd_fixed,0,Crítico,69,7.1875,0.00423,0.0,0.19608
42,aftkd_fixed,0,Crítico,70,7.2917,0.0041,0.0,0.19608
42,aftkd_fixed,0,Crítico,71,7.3958,0.00405,0.0,0.19608
42,aftkd_fixed,0,Crítico,72,7.5,0.00416,0.0,0.19608
42,aftkd_fixed,0,Crítico,73,7.6042,0.00412,0.0,0.19608
42,aftkd_fixed,0,Crítico,74,7.7083,0.00417,0.0,0.19608
42,aftkd_fixed,0,Crítico,75,7.8125,0.00415,0.0,0.19608
42,aftkd_fixed,0,Crítico,76,7.9167,0.00405,0.0,0.19608
42,aftkd_fixed,0,Crítico,77,8.0208,0.004,0.0,0.19608
42,aftkd_fixed,0,Crítico,78,8.125,0.00419,0.0,0.19608
42,aftkd_fixed,0,Crítico,79,8.2292,0.00416,0.0,0.19608
42,aftkd_fixed,0,Crítico,80,8.3333,0.00405,0.0,0.19608
42,aftkd_fixed,0,Crítico,81,8.4375,0.00407,0.0,0.19608
42,aftkd_fixed,0,Crítico,82,8.5417,0.00418,0.0,0.19608
42,aftkd_fixed,0,Crítico,83,8.6458,0.00421,0.0,0.19608
42,aftkd_fixed,0,Crítico,84,8.75,0.0041,0.0,0.19608
42,aftkd_fixed,0,Crítico,85,8.8542,0.00416,0.0,0.19608
42,aftkd_fixed,0,Crítico,86,8.9583,0.0042,0.0,0.19608
42,aftkd_fixed,0,Crítico,87,9.0625,0.00404,0.0,0.19608
42,aftkd_fixed,0,Crítico,88,9.1667,0.00405,0.0,0.19608
42,aftkd_fixed,0,Crítico,89,9.2708,0.00404,0.0,0.19608
42,aftkd_fixed,0,Crítico,90,9.375,0.00416,0.0,0.19608
42,aftkd_fixed,0,Crítico,91,9.4792,0.00423,0.0,0.19608
42,aftkd_fixed,0,Crítico,92,9.5833,0.00417,0.0,0.19608
42,aftkd_fixed,0,Crítico,93,9.6875,0.00418,0.0,0.19608
42,aftkd_fixed,0,Crítico,94,9.7917,0.00416,0.0,0.19608
42,aftkd_fixed,0,Crítico,95,9.8958,0.00424,0.0,0.19608
42,baseline_fixed,1,Crítico,0,0.0,0.06275,0.0,0.70038
42,baseline_fixed,1,Crítico,1,0.1042,0.06665,0.0,0.70038
42,baseline_fixed,1,Crítico,2,0.2083,0.0606,0.0,0.70038
42,baseline_fixed,1,Crítico,3,0.3125,0.06544,0.0,0.70038
42,baseline_fixed,1,Crítico,4,0.4167,0.06131,0.0,0.70038
42,baseline_fixed,1,Crítico,5,0.5208,0.06245,0.0,0.70038
42,baseline_fixed,1,Crítico,6,0.625,0.066,0.0,0.70038
42,baseline_fixed,1,Crítico,7,0.7292,0.06463,0.0,0.70038
42,baseline_fixed,1,Crítico,8,0.8333,0.06778,0.0,0.70038
42,baseline_fixed,1,Crítico,9,0.9375,0.06703,0.0,0.70038
42,baseline_fixed,1,Crítico,10,1.0417,0.06669,0.0,0.70038
42,baseline_fixed,1,Crítico,11,1.1458,0.06332,0.0,0.70038
42,baseline_fixed,1,Crítico,12,1.25,0.06624,0.0,0.70038
42,baseline_fixed,1,Crítico,13,1.3542,0.06388,0.0,0.70038
42,baseline_fixed,1,Crítico,14,1.4583,0.06729,0.0,0.70038
42,baseline_fixed,1,Crítico,15,1.5625,0.066,0.0,0.70038
42,baseline_fixed,1,Crítico,16,1.6667,0.0632,0.0,0.70038
42,baseline_fixed,1,Crítico,17,1.7708,0.0634,0.0,0.70038
42,baseline_fixed,1,Crítico,18,1.875,0.06327,0.0,0.70038
42,baseline_fixed,1,Crítico,19,1.9792,0.06541,0.0,0.70038
42,baseline_fixed,1,Crítico,20,2.0833,0.06427,0.0,0.70038
42,baseline_fixed,1,Crítico,21,2.1875,0.06488,0.0,0.70038
42,baseline_fixed,1,Crítico,22,2.2917,0.06152,0.0,0.70038
42,baseline_fixed,1,Crítico,23,2.3958,0.06651,0.0,0.70038
42,baseline_fixed,1,Crítico,24,2.5,0.06792,0.0,0.70038
42,baseline_fixed,1,Crítico,25,2.6042,0.08314,0.0,0.70038
42,baseline_fixed,1,Crítico,26,2.7083,0.33441,0.0,0.70038
42,baseline_fixed,1,Crítico,27,2.8125,0.41201,0.0,0.70038
42,baseline_fixed,1,Crítico,28,2.9167,0.49613,1.0,0.70038
42,baseline_fixed,1,Crítico,29,3.0208,0.58853,1.0,0.70038
42,baseline_fixed,1,Crítico,30,3.125,0.60973,1.0,0.70038
42,baseline_fixed,1,Crítico,31,3.2292,0.66837,1.0,0.70038
42,baseline_fixed,1,Crítico,32,3.3333,0.70038,1.0,0.70038
42,baseline_fixed,1,Crítico,33,3.4375,0.69335,1.0,0.70038
42,baseline_fixed,1,Crítico,34,3.5417,0.69597,1.0,0.70038
42,baseline_fixed,1,Crítico,35,3.6458,0.69872,1.0,0.70038
42,baseline_fixed,1,Crítico,36,3.75,0.66193,1.0,0.70038
42,baseline_fixed,1,Crítico,37,3.8542,0.63496,1.0,0.70038
42,baseline_fixed,1,Crítico,38,3.9583,0.62189,1.0,0.70038
42,baseline_fixed,1,Crítico,39,4.0625,0.69563,1.0,0.70038
42,baseline_fixed,1,Crítico,40,4.1667,0.65485,1.0,0.70038
42,baseline_fixed,1,Crítico,41,4.2708,0.58542,1.0,0.70038
42,baseline_fixed,1,Crítico,42,4.375,0.17002,1.0,0.70038
42,baseline_fixed,1,Crítico,43,4.4792,0.14137,1.0,0.70038
42,baseline_fixed,1,Crítico,44,4.5833,0.11268,1.0,0.70038
42,baseline_fixed,1,Crítico,45,4.6875,0.11757,1.0,0.70038
42,baseline_fixed,1,Crítico,46,4.7917,0.11913,1.0,0.70038
42,baseline_fixed,1,Crítico,47,4.8958,0.13379,1.0,0.70038
42,baseline_fixed,1,Crítico,48,5.0,0.12726,1.0,0.70038
42,baseline_fixed,1,Crítico,49,5.1042,0.12613,1.0,0.70038
42,baseline_fixed,1,Crítico,50,5.2083,0.12983,1.0,0.70038
42,baseline_fixed,1,Crítico,51,5.3125,0.11108,1.0,0.70038
42,baseline_fixed,1,Crítico,52,5.4167,0.12272,1.0,0.70038
42,baseline_fixed,1,Crítico,53,5.5208,0.11534,1.0,0.70038
42,baseline_fixed,1,Crítico,54,5.625,0.12433,1.0,0.70038
42,baseline_fixed,1,Crítico,55,5.7292,0.12553,1.0,0.70038
42,baseline_fixed,1,Crítico,56,5.8333,0.11005,1.0,0.70038
42,baseline_fixed,1,Crítico,57,5.9375,0.10885,1.0,0.70038
42,baseline_fixed,1,Crítico,58,6.0417,0.10921,1.0,0.70038
42,baseline_fixed,1,Crítico,59,6.1458,0.10462,1.0,0.70038
42,baseline_fixed,1,Crítico,60,6.25,0.11914,1.0,0.70038
42,baseline_fixed,1,Crítico,61,6.3542,0.10548,1.0,0.70038
42,baseline_fixed,1,Crítico,62,6.4583,0.10209,1.0,0.70038
42,baseline_fixed,1,Crítico,63,6.5625,0.10714,1.0,0.70038
42,baseline_fixed,1,Crítico,64,6.6667,0.10935,1.0,0.70038
42,baseline_fixed,1,Crítico,65,6.7708,0.09932,1.0,0.70038
42,baseline_fixed,1,Crítico,66,6.875,0.1015,1.0,0.70038
42,baseline_fixed,1,Crítico,67,6.9792,0.09405,1.0,0.70038
42,baseline_fixed,1,Crítico,68,7.0833,0.09255,1.0,0.70038
42,baseline_fixed,1,Crítico,69,7.1875,0.09358,1.0,0.70038
42,baseline_fixed,1,Crítico,70,7.2917,0.09057,1.0,0.70038
42,baseline_fixed,1,Crítico,71,7.3958,0.09997,1.0,0.70038
42,baseline_fixed,1,Crítico,72,7.5,0.08875,1.0,0.70038
42,baseline_fixed,1,Crítico,73,7.6042,0.08095,1.0,0.70038
42,baseline_fixed,1,Crítico,74,7.7083,0.08663,1.0,0.70038
42,baseline_fixed,1,Crítico,75,7.8125,0.09168,1.0,0.70038
42,baseline_fixed,1,Crítico,76,7.9167,0.08399,1.0,0.70038
42,baseline_fixed,1,Crítico,77,8.0208,0.08598,1.0,0.70038
42,baseline_fixed,1,Crítico,78,8.125,0.08368,1.0,0.70038
42,baseline_fixed,1,Crítico,79,8.2292,0.07768,1.0,0.70038
42,baseline_fixed,1,Crítico,80,8.3333,0.08028,1.0,0.70038
42,baseline_fixed,1,Crítico,81,8.4375,0.085,1.0,0.70038
42,baseline_fixed,1,Crítico,82,8.5417,0.07962,1.0,0.70038
42,baseline_fixed,1,Crítico,83,8.6458,0.08339,1.0,0.70038
42,baseline_fixed,1,Crítico,84,8.75,0.09013,0.0,0.70038
42,baseline_fixed,1,Crítico,85,8.8542,0.0808,0.0,0.70038
42,baseline_fixed,1,Crítico,86,8.9583,0.07805,0.0,0.70038
42,baseline_fixed,1,Crítico,87,9.0625,0.08363,0.0,0.70038
42,baseline_fixed,1,Crítico,88,9.1667,0.07512,0.0,0.70038
42,baseline_fixed,1,Crítico,89,9.2708,0.06939,0.0,0.70038
42,baseline_fixed,1,Crítico,90,9.375,0.06572,0.0,0.70038
42,baseline_fixed,1,Crítico,91,9.4792,0.07209,0.0,0.70038
42,baseline_fixed,1,Crítico,92,9.5833,0.07458,0.0,0.70038
42,baseline_fixed,1,Crítico,93,9.6875,0.07206,0.0,0.70038
42,baseline_fixed,1,Crítico,94,9.7917,0.07643,0.0,0.70038
42,baseline_fixed,1,Crítico,95,9.8958,0.07108,0.0,0.70038
42,aftkd_fixed,1,Crítico,0,0.0,0.00412,0.0,0.28837
42,aftkd_fixed,1,Crítico,1,0.1042,0.00427,0.0,0.28837
42,aftkd_fixed,1,Crítico,2,0.2083,0.00407,0.0,0.28837
42,aftkd_fixed,1,Crítico,3,0.3125,0.0043,0.0,0.28837
42,aftkd_fixed,1,Crítico,4,0.4167,0.00423,0.0,0.28837
42,aftkd_fixed,1,Crítico,5,0.5208,0.00416,0.0,0.28837
42,aftkd_fixed,1,Crítico,6,0.625,0.00421,0.0,0.28837
42,aftkd_fixed,1,Crítico,7,0.7292,0.0042,0.0,0.28837
42,aftkd_fixed,1,Crítico,8,0.8333,0.00427,0.0,0.28837
42,aftkd_fixed,1,Crítico,9,0.9375,0.00435,0.0,0.28837
42,aftkd_fixed,1,Crítico,10,1.0417,0.00437,0.0,0.28837
42,aftkd_fixed,1,Crítico,11,1.1458,0.00423,0.0,0.28837
42,aftkd_fixed,1,Crítico,12,1.25,0.00437,0.0,0.28837
42,aftkd_fixed,1,Crítico,13,1.3542,0.00417,0.0,0.28837
42,aftkd_fixed,1,Crítico,14,1.4583,0.00423,0.0,0.28837
42,aftkd_fixed,1,Crítico,15,1.5625,0.00429,0.0,0.28837
42,aftkd_fixed,1,Crítico,16,1.6667,0.00423,0.0,0.28837
42,aftkd_fixed,1,Crítico,17,1.7708,0.00422,0.0,0.28837
42,aftkd_fixed,1,Crítico,18,1.875,0.00423,0.0,0.28837
42,aftkd_fixed,1,Crítico,19,1.9792,0.00436,0.0,0.28837
42,aftkd_fixed,1,Crítico,20,2.0833,0.00431,0.0,0.28837
42,aftkd_fixed,1,Crítico,21,2.1875,0.00429,0.0,0.28837
42,aftkd_fixed,1,Crítico,22,2.2917,0.00417,0.0,0.28837
42,aftkd_fixed,1,Crítico,23,2.3958,0.00432,0.0,0.28837
42,aftkd_fixed,1,Crítico,24,2.5,0.00433,0.0,0.28837
42,aftkd_fixed,1,Crítico,25,2.6042,0.00461,0.0,0.28837
42,aftkd_fixed,1,Crítico,26,2.7083,0.05293,0.0,0.28837
42,aftkd_fixed,1,Crítico,27,2.8125,0.07788,0.0,0.28837
42,aftkd_fixed,1,Crítico,28,2.9167,0.11707,1.0,0.28837
42,aftkd_fixed,1,Crítico,29,3.0208,0.17412,1.0,0.28837
42,aftkd_fixed,1,Crítico,30,3.125,0.18533,1.0,0.28837
42,aftkd_fixed,1,Crítico,31,3.2292,0.24274,1.0,0.28837
42,aftkd_fixed,1,Crítico,32,3.3333,0.28837,1.0,0.28837
42,aftkd_fixed,1,Crítico,33,3.4375,0.27212,1.0,0.28837
42,aftkd_fixed,1,Crítico,34,3.5417,0.27372,1.0,0.28837
42,aftkd_fixed,1,Crítico,35,3.6458,0.28033,1.0,0.28837
42,aftkd_fixed,1,Crítico,36,3.75,0.24258,1.0,0.28837
42,aftkd_fixed,1,Crítico,37,3.8542,0.21106,1.0,0.28837
42,aftkd_fixed,1,Crítico,38,3.9583,0.20049,1.0,0.28837
42,aftkd_fixed,1,Crítico,39,4.0625,0.2851,1.0,0.28837
42,aftkd_fixed,1,Crítico,40,4.1667,0.22453,1.0,0.28837
42,aftkd_fixed,1,Crítico,41,4.2708,0.15099,1.0,0.28837
42,aftkd_fixed,1,Crítico,42,4.375,0.00564,1.0,0.28837
42,aftkd_fixed,1,Crítico,43,4.4792,0.00511,1.0,0.28837
42,aftkd_fixed,1,Crítico,44,4.5833,0.0047,1.0,0.28837
42,aftkd_fixed,1,Crítico,45,4.6875,0.00478,1.0,0.28837
42,aftkd_fixed,1,Crítico,46,4.7917,0.00486,1.0,0.28837
42,aftkd_fixed,1,Crítico,47,4.8958,0.00483,1.0,0.28837
42,aftkd_fixed,1,Crítico,48,5.0,0.00475,1.0,0.28837
42,aftkd_fixed,1,Crítico,49,5.1042,0.00481,1.0,0.28837
42,aftkd_fixed,1,Crítico,50,5.2083,0.00496,1.0,0.28837
42,aftkd_fixed,1,Crítico,51,5.3125,0.00465,1.0,0.28837
42,aftkd_fixed,1,Crítico,52,5.4167,0.00482,1.0,0.28837
42,aftkd_fixed,1,Crítico,53,5.5208,0.00454,1.0,0.28837
42,aftkd_fixed,1,Crítico,54,5.625,0.00465,1.0,0.28837
42,aftkd_fixed,1,Crítico,55,5.7292,0.00461,1.0,0.28837
42,aftkd_fixed,1,Crítico,56,5.8333,0.00457,1.0,0.28837
42,aftkd_fixed,1,Crítico,57,5.9375,0.00464,1.0,0.28837
42,aftkd_fixed,1,Crítico,58,6.0417,0.0046,1.0,0.28837
42,aftkd_fixed,1,Crítico,59,6.1458,0.00446,1.0,0.28837
42,aftkd_fixed,1,Crítico,60,6.25,0.00464,1.0,0.28837
42,aftkd_fixed,1,Crítico,61,6.3542,0.00427,1.0,0.28837
42,aftkd_fixed,1,Crítico,62,6.4583,0.00435,1.0,0.28837
42,aftkd_fixed,1,Crítico,63,6.5625,0.00447,1.0,0.28837
42,aftkd_fixed,1,Crítico,64,6.6667,0.00459,1.0,0.28837
42,aftkd_fixed,1,Crítico,65,6.7708,0.00449,1.0,0.28837
42,aftkd_fixed,1,Crítico,66,6.875,0.0046,1.0,0.28837
42,aftkd_fixed,1,Crítico,67,6.9792,0.0046,1.0,0.28837
42,aftkd_fixed,1,Crítico,68,7.0833,0.00451,1.0,0.28837
42,aftkd_fixed,1,Crítico,69,7.1875,0.0044,1.0,0.28837
42,aftkd_fixed,1,Crítico,70,7.2917,0.00437,1.0,0.28837
42,aftkd_fixed,1,Crítico,71,7.3958,0.0047,1.0,0.28837
42,aftkd_fixed,1,Crítico,72,7.5,0.00444,1.0,0.28837
42,aftkd_fixed,1,Crítico,73,7.6042,0.00436,1.0,0.28837
42,aftkd_fixed,1,Crítico,74,7.7083,0.0046,1.0,0.28837
42,aftkd_fixed,1,Crítico,75,7.8125,0.00463,1.0,0.28837
42,aftkd_fixed,1,Crítico,76,7.9167,0.00435,1.0,0.28837
42,aftkd_fixed,1,Crítico,77,8.0208,0.00436,1.0,0.28837
